"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
"574",1,1,"female",23,3,2,263,"S"
"575",1,3,"female",21,0,0,7.65,"S"
"576",0,3,"male",20,0,0,7.8542,"S"
"577",1,3,"female",33,3,0,15.85,"S"
"578",0,1,"male",40,0,0,0,"S"
"579",1,1,"female",58,0,0,26.55,"S"
"580",0,3,"male",28,0,0,56.4958,"S"
"581",0,3,"male",51,0,0,7.0542,"S"
"582",0,3,"male",33,1,1,20.525,"S"
"583",0,3,"male",20.5,0,0,7.25,"S"
"584",1,1,"male",49,1,0,56.9292,"C"
"585",1,1,"male",27,0,0,76.7292,"C"
"586",1,1,"female",23,1,0,113.275,"C"
"587",0,2,"male",36,1,2,27.75,"S"
"588",1,2,"female",34,1,1,32.5,"S"
"589",0,3,"female",45,0,1,14.4542,"C"
"590",0,3,"female",9,2,2,34.375,"S"
"591",0,3,"male",33,0,0,9.5,"S"
"592",1,1,"female",19,0,0,30,"S"
"593",0,3,"male",21,0,0,7.925,"S"
"594",0,3,"male",NA,0,0,8.4583,"Q"
"595",0,3,"male",28,0,0,9.5,"S"
"596",1,1,"female",60,1,0,75.25,"C"
"597",1,2,"female",42,0,0,13,"S"
"598",1,3,"female",NA,0,0,7.7375,"Q"
"599",1,2,"female",29,0,0,10.5,"S"
"600",0,3,"female",10,0,2,24.15,"S"
"601",0,3,"male",NA,0,0,7.225,"C"
"602",1,3,"female",NA,1,0,16.1,"S"
"603",0,1,"male",62,0,0,26.55,"S"
"604",0,3,"male",45.5,0,0,7.225,"C"
"605",1,3,"female",24,0,3,19.2583,"C"
"606",0,3,"female",22,0,0,10.5167,"S"
"607",0,3,"female",NA,0,0,8.05,"S"
"608",1,3,"female",NA,0,0,7.75,"Q"
"609",0,3,"female",NA,3,1,25.4667,"S"
"610",1,1,"male",31,1,0,57,"S"
"611",1,1,"male",NA,0,0,35.5,"S"
"612",1,3,"male",NA,1,1,15.2458,"C"
"613",0,3,"male",11,5,2,46.9,"S"
"614",0,1,"male",NA,0,0,42.4,"S"
"615",1,1,"female",24,0,0,69.3,"C"
"616",0,3,"male",41,0,0,7.125,"S"
"617",0,3,"female",28,1,1,14.4,"S"
"618",0,3,"male",26,2,0,8.6625,"S"
"619",1,1,"female",44,0,0,27.7208,"C"
"620",0,3,"male",11,0,0,18.7875,"C"
"621",0,1,"male",61,0,0,32.3208,"S"
"622",0,1,"male",NA,0,0,26.55,"S"
"623",0,1,"male",64,0,0,26,"S"
"624",0,3,"female",NA,1,0,14.4583,"C"
"625",1,2,"female",45,1,1,26.25,"S"
"626",0,1,"male",71,0,0,49.5042,"C"
"627",0,1,"male",NA,0,0,27.7208,"C"
"628",0,3,"male",NA,0,0,8.05,"S"
"629",0,2,"male",36,0,0,13,"S"
"630",0,3,"male",23,0,0,9.225,"S"
"631",0,2,"male",16,0,0,26,"S"
"632",0,1,"male",65,0,1,61.9792,"C"
"633",0,3,"male",25,0,0,7.65,"S"
"634",0,3,"male",19,0,0,14.5,"S"
"635",0,2,"male",NA,0,0,0,"S"
"636",0,2,"male",25,0,0,13,"S"
"637",1,3,"male",18,0,0,8.05,"S"
"638",1,3,"male",20,1,0,7.925,"S"
"639",0,2,"male",18,0,0,73.5,"S"
"640",1,1,"female",36,0,2,71,"S"
"641",1,3,"female",22,0,0,7.75,"S"
"642",1,1,"female",35,0,0,512.3292,"C"
"643",0,3,"male",NA,0,0,7.8958,"S"
"644",0,2,"male",37,1,0,26,"S"
"645",1,2,"female",30,0,0,13,"S"
"646",1,3,"female",24,1,0,15.85,"S"
"647",0,3,"female",45,1,4,27.9,"S"
"648",0,3,"male",NA,0,0,7.8958,"S"
"649",0,3,"male",NA,0,0,15.5,"Q"
"650",0,3,"male",NA,0,0,7.8958,"S"
"651",0,1,"male",NA,0,0,26,"S"
"652",0,3,"male",28,0,0,7.8958,"S"
"653",1,1,"female",38,0,0,227.525,"C"
"654",0,2,"male",16,0,0,10.5,"S"
"655",1,2,"female",2,1,1,26,"S"
"656",1,2,"male",8,1,1,36.75,"S"
"657",0,3,"male",1,4,1,39.6875,"S"
"658",1,2,"male",62,0,0,10.5,"S"
"659",0,3,"male",NA,0,0,7.8958,"C"
"660",1,1,"male",36,0,0,26.2875,"S"
"661",1,2,"female",48,1,2,65,"S"
"662",0,3,"male",NA,0,0,7.7333,"Q"
"663",1,2,"male",0.67,1,1,14.5,"S"
"664",0,3,"female",31,1,0,18,"S"
"665",1,3,"female",NA,1,0,15.5,"Q"
"666",0,3,"female",NA,8,2,69.55,"S"
"667",1,3,"male",29,0,0,7.8958,"C"
"668",1,2,"female",28,0,0,12.65,"S"
"669",1,3,"female",NA,0,0,7.75,"Q"
"670",0,3,"male",42,0,0,7.65,"S"
"671",0,3,"male",2,4,1,29.125,"Q"
"672",0,3,"male",30,0,0,7.8958,"S"
"673",1,1,"female",58,0,0,146.5208,"C"
"674",0,3,"male",21,0,0,8.4333,"S"
"675",0,3,"male",33,0,0,7.775,"S"
"676",0,3,"male",21,0,0,8.05,"S"
"677",0,3,"female",NA,1,2,23.45,"S"
"678",1,2,"female",41,0,1,19.5,"S"
"679",0,2,"male",29,1,0,27.7208,"C"
"680",0,3,"male",NA,0,0,8.05,"S"
"681",0,3,"male",22,0,0,9.35,"S"
"682",1,3,"male",9,0,2,20.525,"S"
"683",0,2,"male",50,0,0,13,"S"
"684",0,1,"male",22,0,0,135.6333,"C"
"685",0,3,"female",23,0,0,7.925,"S"
"686",1,3,"female",27,0,0,7.925,"S"
"687",0,3,"male",51,0,0,7.75,"S"
"688",0,3,"male",28,0,0,22.525,"S"
"689",0,3,"male",40,1,4,27.9,"S"
"690",0,3,"male",26,0,0,8.05,"S"
"691",0,3,"male",28,0,0,7.8542,"S"
"692",0,2,"female",44,1,0,26,"S"
"693",1,3,"male",3,4,2,31.3875,"S"
"694",1,1,"female",33,0,0,86.5,"S"
"695",0,3,"male",36,0,0,7.8958,"S"
"696",0,3,"male",20,0,0,7.05,"S"
"697",0,3,"female",14.5,1,0,14.4542,"C"
"698",0,2,"male",25,1,0,26,"S"
"699",1,1,"female",53,2,0,51.4792,"S"
"700",1,3,"female",NA,1,0,16.1,"S"
"701",0,2,"male",39,0,0,13,"S"
"702",0,3,"male",19,0,0,7.8958,"S"
"703",0,3,"female",22,0,0,9.8375,"S"
"704",0,3,"male",16,0,0,7.775,"S"
"705",1,2,"female",18,0,1,23,"S"
"706",1,3,"female",15,0,0,8.0292,"Q"
"707",0,1,"male",50,1,0,106.425,"C"
"708",0,2,"male",35,0,0,10.5,"S"
"709",0,3,"female",NA,0,0,7.6292,"Q"
"710",0,3,"female",21,1,0,9.825,"S"
"711",0,1,"male",47,0,0,25.5875,"S"
